tax,ptratio,b,lstat,medv
437,21.2,388.69,15.03,18.4
437,21.2,262.76,17.31,15.6
437,21.2,394.67,16.96,18.1
437,21.2,378.25,16.9,17.4
437,21.2,394.08,14.59,17.1
437,21.2,392.04,21.32,13.3
437,21.2,396.9,18.46,17.8
437,21.2,388.08,24.16,14
437,21.2,396.9,34.41,14.4
403,14.7,396.9,26.82,13.4
403,14.7,396.9,26.42,15.6
403,14.7,396.9,29.29,11.8
403,14.7,172.91,27.8,13.8
403,14.7,169.27,16.65,15.6
403,14.7,391.71,29.53,14.6
403,14.7,356.99,28.32,17.8
403,14.7,351.85,21.45,15.4
403,14.7,372.8,14.1,21.5
403,14.7,341.6,13.28,19.6
403,14.7,343.28,12.12,15.3
403,14.7,261.95,15.79,19.4
403,14.7,321.02,15.12,17
403,14.7,88.01,15.02,15.6
403,14.7,88.63,16.14,13.1
403,14.7,363.43,4.59,41.3
403,14.7,353.89,6.43,24.3
403,14.7,364.31,7.39,23.3
403,14.7,338.92,5.5,27
403,14.7,374.43,1.73,50
403,14.7,389.61,1.92,50
403,14.7,388.45,3.32,50
403,14.7,395.11,11.64,22.7
403,14.7,240.16,9.81,25
403,14.7,369.3,3.7,50
403,14.7,227.61,12.14,23.8
403,14.7,297.09,11.1,23.8
403,14.7,330.04,11.32,22.3
403,14.7,292.29,14.43,17.4
403,14.7,348.13,12.03,19.1
296,16.6,396.9,14.69,23.1
296,16.6,395.5,9.04,23.6
296,16.6,393.23,9.64,22.6
296,16.6,390.96,5.33,29.4
296,16.6,393.23,10.11,23.2
296,16.6,395.6,6.29,24.6
296,16.6,391.27,6.92,29.9
193,17.8,396.9,5.04,37.2
193,17.8,395.56,7.56,39.8
193,17.8,396.9,9.45,36.2
193,17.8,394.12,4.82,37.9
193,17.8,396.9,5.68,32.5
193,17.8,391,13.98,26.4
193,17.8,387.11,13.15,29.6
193,17.8,392.63,4.45,50
398,15.2,393.87,6.68,32
398,15.2,382.84,4.56,29.8
398,15.2,396.9,5.39,34.9
398,15.2,377.68,5.1,37
398,15.2,389.71,4.69,30.5
398,15.2,390.49,2.87,36.4
265,15.6,393.37,5.03,31.1
265,15.6,376.7,4.38,29.1
255,14.4,394.23,2.97,50
329,12.6,396.9,4.08,33.3
329,12.6,354.31,8.61,30.3
329,12.6,392.2,6.62,34.6
402,17,396.9,4.56,34.9
402,17,384.3,4.45,32.9
348,14.7,393.77,7.43,24.1
348,14.7,395.38,3.11,42.3
224,14.7,392.78,3.81,48.5
224,14.7,390.55,2.88,50
277,18.6,396.9,10.87,22.6
277,18.6,394.87,10.97,24.4
277,18.6,389.43,18.06,22.5
277,18.6,381.32,14.66,24.4
277,18.6,396.9,23.09,20
277,18.6,393.25,17.27,21.7
277,18.6,395.24,23.98,19.3
277,18.6,390.94,16.03,22.4
277,18.6,385.81,9.38,28.1
277,18.6,348.93,29.55,23.7
277,18.6,393.63,9.47,25
276,16.4,392.8,13.51,23.3
276,16.4,392.78,9.69,28.7
276,16.4,396.9,17.92,21.5
276,16.4,393.74,10.5,23
307,17.4,391.7,9.71,26.7
307,17.4,395.24,21.46,21.7
307,17.4,390.39,9.93,27.5
307,17.4,396.9,7.6,30.1
307,17.4,385.05,4.14,44.8
307,17.4,382,4.63,50
307,17.4,387.38,3.13,37.6
307,17.4,372.08,6.36,31.6
307,17.4,377.51,3.92,46.7
307,17.4,380.34,3.76,31.5
307,17.4,378.35,11.65,24.3
307,17.4,376.14,5.25,31.7
307,17.4,385.91,2.47,41.7
307,17.4,378.95,3.95,48.3
307,17.4,360.2,8.05,29
307,17.4,376.75,10.88,24
307,17.4,388.45,9.54,25.1
307,17.4,390.07,4.73,31.5
300,16.6,379.41,6.36,23.7
300,16.6,383.78,7.37,23.3
300,16.6,391.25,11.38,22
300,16.6,394.62,12.4,20.1
300,16.6,372.75,11.22,22.2
300,16.6,374.71,5.19,23.7
330,19.1,372.49,12.5,17.6
330,19.1,389.13,18.46,18.5
330,19.1,390.18,9.16,24.3
330,19.1,376.14,10.15,20.5
330,19.1,374.71,9.52,24.5
330,19.1,393.74,6.56,26.2
330,19.1,396.28,5.9,24.4
330,19.1,377.07,3.59,24.8
330,19.1,386.09,3.53,29.6
330,19.1,396.9,3.54,42.8
315,16.4,392.89,6.57,21.9
315,16.4,395.18,9.25,20.9
244,15.9,386.34,3.11,44
264,13,389.7,5.12,50
264,13,383.29,7.79,36
264,13,391.93,6.9,30.1
264,13,392.8,9.59,33.8
264,13,388.37,7.26,43.1
264,13,386.86,5.91,48.8
264,13,393.42,11.25,31
264,13,387.89,8.1,36.5
264,13,392.4,10.45,22.8
264,13,384.07,14.79,30.7
264,13,384.54,7.44,50
264,13,390.3,3.16,43.5
223,18.6,391.34,13.65,20.7
223,18.6,388.65,13,21.1
223,18.6,396.9,6.59,25.2
223,18.6,394.96,7.73,24.4
223,18.6,390.77,6.58,35.2
254,17.6,396.9,3.53,32.4
254,17.6,396.9,2.98,32
254,17.6,389.25,6.05,33.2
254,17.6,393.45,4.16,33.1
254,17.6,396.9,7.19,29.1
216,14.9,396.9,4.85,35.1
216,14.9,387.31,3.76,45.4
216,14.9,392.23,4.59,35.4
216,14.9,377.07,3.01,46
198,13.6,395.52,3.16,50
285,15.3,394.72,7.85,32.2
300,15.3,394.72,8.23,22
241,18.2,341.6,12.93,20.1
293,16.6,396.9,7.14,23.2
293,16.6,396.9,7.6,22.3
293,16.6,371.72,9.51,24.8
245,19.2,396.9,3.33,28.5
245,19.2,396.9,3.56,37.3
245,19.2,396.9,4.7,27.9
289,16,396.9,8.58,23.9
289,16,396.9,10.4,21.7
289,16,396.9,6.27,28.6
289,16,392.85,7.39,27.1
289,16,396.9,15.84,20.3
358,14.8,368.24,4.97,22.5
358,14.8,371.58,4.74,29
358,14.8,390.86,6.07,24.8
329,16.1,395.75,9.5,22
329,16.1,383.61,8.67,26.4
329,16.1,390.43,4.86,33.1
222,18.4,393.68,6.93,36.1
222,18.4,393.36,8.93,28.4
222,18.4,396.9,6.47,33.4
222,18.4,396.9,7.53,28.2
304,18.4,396.9,4.54,22.8
304,18.4,396.24,9.97,20.3
304,18.4,350.45,12.64,16.1
304,18.4,396.9,5.98,22.1
304,18.4,396.3,11.72,19.4
304,18.4,393.39,7.9,21.6
304,18.4,395.69,9.28,23.8
304,18.4,396.42,11.5,16.2
304,18.4,390.7,18.33,17.8
304,18.4,396.9,15.94,19.8
304,18.4,395.21,10.36,23.1
304,18.4,396.23,12.73,21
287,19.6,396.9,7.2,23.8
287,19.6,396.9,6.87,23.1
287,19.6,396.9,7.7,20.4
287,19.6,391.13,11.74,18.5
287,19.6,396.9,6.12,25
287,19.6,393.68,5.08,24.6
287,19.6,396.9,6.15,23
287,19.6,396.9,12.79,22.2
430,16.9,382.44,9.97,19.3
430,16.9,375.21,7.34,22.6
430,16.9,368.57,9.09,19.8
304,16.9,394.02,12.43,17.1
304,16.9,362.25,7.83,19.4
224,20.2,389.71,5.68,22.2
224,20.2,389.4,6.75,20.7
224,20.2,396.9,8.01,21.1
224,20.2,396.9,9.8,19.5
224,20.2,394.81,10.56,18.5
224,20.2,396.14,8.51,20.6
224,20.2,396.9,9.74,19
224,20.2,396.9,9.29,18.7
284,15.5,394.74,5.49,32.7
422,15.9,389.96,8.65,16.5
370,17.6,396.9,7.18,23.9
370,17.6,387.97,4.61,31.2
352,18.8,385.64,10.53,17.5
352,18.8,364.61,12.67,17.2
351,17.9,392.43,6.36,23.1
280,17,390.94,5.99,24.5
335,19.7,389.85,5.89,26.6
335,19.7,396.9,5.98,22.9
411,18.3,370.78,5.49,24.1
411,18.3,392.33,7.79,18.6
187,17,384.46,4.5,30.1
334,22,382.8,8.05,18.2
334,22,376.04,5.57,20.6
666,20.2,377.73,17.6,17.8
666,20.2,391.34,13.27,21.7
666,20.2,395.43,11.48,22.7
666,20.2,390.74,12.67,22.6
666,20.2,374.56,7.79,25
666,20.2,350.65,14.19,19.9
666,20.2,380.79,10.19,20.8
666,20.2,353.04,14.64,16.8
666,20.2,354.55,5.29,21.9
666,20.2,354.7,7.12,27.5
666,20.2,316.03,14,21.9
666,20.2,131.42,13.33,23.1
666,20.2,375.52,3.26,50
666,20.2,375.33,3.73,50
666,20.2,392.05,2.96,50
666,20.2,366.15,9.53,50
666,20.2,347.88,8.88,50
666,20.2,396.9,34.77,13.8
666,20.2,396.9,37.97,13.8
666,20.2,396.9,13.44,15
666,20.2,363.02,23.24,13.9
666,20.2,396.9,21.24,13.3
666,20.2,396.9,23.69,13.1
666,20.2,393.74,21.78,10.2
666,20.2,396.9,17.21,10.4
666,20.2,396.9,21.08,10.9
666,20.2,396.9,23.6,11.3
666,20.2,396.9,24.56,12.3
666,20.2,285.83,30.63,8.8
666,20.2,396.9,30.81,7.2
666,20.2,396.9,28.28,10.5
666,20.2,396.9,31.99,7.4
666,20.2,372.92,30.62,10.2
666,20.2,396.9,20.85,11.5
666,20.2,394.43,17.11,15.1
666,20.2,378.38,18.76,23.2
666,20.2,396.9,25.68,9.7
666,20.2,396.9,15.17,13.8
666,20.2,396.9,16.35,12.7
666,20.2,391.98,17.12,13.1
666,20.2,396.9,19.37,12.5
666,20.2,393.1,19.92,8.5
666,20.2,396.9,30.59,5
666,20.2,338.16,29.97,6.3
666,20.2,396.9,26.77,5.6
666,20.2,396.9,20.32,7.2
666,20.2,376.11,20.31,12.1
666,20.2,396.9,19.77,8.3
666,20.2,329.46,27.38,8.5
666,20.2,384.97,22.98,5
666,20.2,370.22,23.34,11.9
666,20.2,332.09,12.13,27.9
666,20.2,314.64,26.4,17.2
666,20.2,179.36,19.78,27.5
666,20.2,2.6,10.11,15
666,20.2,35.05,21.22,17.2
666,20.2,28.79,34.37,17.9
666,20.2,210.97,20.08,16.3
666,20.2,88.27,36.98,7
666,20.2,27.25,29.05,7.2
666,20.2,21.57,25.79,7.5
666,20.2,127.36,26.64,10.4
666,20.2,16.45,20.62,8.8
666,20.2,48.45,22.74,8.4
666,20.2,318.75,15.02,16.7
666,20.2,319.98,15.7,14.2
666,20.2,291.55,14.1,20.8
666,20.2,2.52,23.29,13.4
666,20.2,3.65,17.16,11.7
666,20.2,7.68,24.39,8.3
666,20.2,24.65,15.69,10.2
666,20.2,18.82,14.52,10.9
666,20.2,96.73,21.52,11
666,20.2,60.72,24.08,9.5
666,20.2,83.45,17.64,14.5
666,20.2,81.33,19.69,14.1
666,20.2,97.95,12.03,16.1
666,20.2,100.19,16.22,14.3
666,20.2,100.63,15.17,11.7
666,20.2,109.85,23.27,13.4
666,20.2,27.49,18.05,9.6
666,20.2,9.32,26.45,8.7
666,20.2,68.95,34.02,8.4
666,20.2,396.9,22.88,12.8
666,20.2,391.45,22.11,10.5
666,20.2,385.96,19.52,17.1
666,20.2,395.69,16.59,18.4
666,20.2,386.73,18.85,15.4
666,20.2,240.52,23.79,10.8
666,20.2,43.06,23.98,11.8
666,20.2,318.01,17.79,14.9
666,20.2,388.52,16.44,12.6
666,20.2,396.9,18.13,14.1
666,20.2,304.21,19.31,13
666,20.2,0.32,17.44,13.4
666,20.2,355.29,17.73,15.2
666,20.2,385.09,17.27,16.1
666,20.2,375.87,16.74,17.8
666,20.2,6.68,18.71,14.9
666,20.2,50.92,18.13,14.1
666,20.2,10.48,19.01,12.7
666,20.2,3.5,16.94,13.5
666,20.2,272.21,16.23,14.9
666,20.2,396.9,14.7,20
666,20.2,255.23,16.42,16.4
666,20.2,391.43,14.65,17.7
666,20.2,396.9,13.99,19.5
666,20.2,393.82,10.29,20.2
666,20.2,396.9,13.22,21.4
666,20.2,334.4,14.13,19.9
666,20.2,22.01,17.15,19
666,20.2,331.29,21.32,19.1
666,20.2,368.74,18.13,19.1
666,20.2,396.9,14.76,20.1
666,20.2,396.9,16.29,19.9
666,20.2,395.33,12.87,19.6
666,20.2,393.37,14.36,23.2
666,20.2,374.68,11.66,29.8
666,20.2,352.58,18.14,13.8
666,20.2,302.76,24.1,13.3
666,20.2,396.21,18.68,16.7
666,20.2,349.48,24.91,12
666,20.2,379.7,18.03,14.6
666,20.2,383.32,13.11,21.4
666,20.2,396.9,10.74,23
666,20.2,393.07,7.74,23.7
666,20.2,395.28,7.01,25
666,20.2,392.92,10.42,21.8
666,20.2,370.73,13.34,20.6
666,20.2,388.62,10.58,21.2
666,20.2,392.68,14.98,19.1
666,20.2,388.22,11.45,20.6
711,20.1,395.09,18.06,15.2
711,20.1,344.05,23.97,7
711,20.1,318.43,29.68,8.1
711,20.1,390.11,18.07,13.6
711,20.1,396.9,13.35,20.1
391,19.2,396.9,12.01,21.8
391,19.2,396.9,13.59,24.5
391,19.2,393.29,17.6,23.1
391,19.2,396.9,21.14,19.7
391,19.2,396.9,14.1,18.3
391,19.2,396.9,12.92,21.2
391,19.2,395.77,15.1,17.5
391,19.2,396.9,14.33,16.8
273,21,391.99,9.67,22.4
273,21,396.9,9.08,20.6
273,21,396.9,5.64,23.9
273,21,393.45,6.48,22
273,21,396.9,7.88,11.9
